You have specified parameters: threshold=mu+/-0.10*sigma #fea=200 selection method=MID #maxVar=14337 #maxSample=12236

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.000

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
88 	 8242 	 v8241 	 0.018
89 	 8488 	 v8487 	 0.018
90 	 8391 	 v8390 	 0.018
91 	 8145 	 v8144 	 0.018
92 	 8042 	 v8041 	 0.018
93 	 8415 	 v8414 	 0.018
94 	 8132 	 v8131 	 0.018
95 	 8104 	 v8103 	 0.018
96 	 8033 	 v8032 	 0.018
97 	 7540 	 v7539 	 0.018
98 	 8011 	 v8010 	 0.018
99 	 8468 	 v8467 	 0.018
100 	 8141 	 v8140 	 0.018
101 	 8396 	 v8395 	 0.017
102 	 8428 	 v8427 	 0.017
103 	 8043 	 v8042 	 0.017
104 	 8240 	 v8239 	 0.017
105 	 8085 	 v8084 	 0.017
106 	 8137 	 v8136 	 0.017
107 	 8489 	 v8488 	 0.017
108 	 7536 	 v7535 	 0.017
109 	 8199 	 v8198 	 0.017
110 	 8358 	 v8357 	 0.017
111 	 8149 	 v8148 	 0.017
112 	 8243 	 v8242 	 0.017
113 	 8219 	 v8218 	 0.017
114 	 8126 	 v8125 	 0.017
115 	 8474 	 v8473 	 0.017
116 	 8471 	 v8470 	 0.017
117 	 8147 	 v8146 	 0.017
118 	 8262 	 v8261 	 0.017
119 	 8241 	 v8240 	 0.017
120 	 7969 	 v7968 	 0.017
121 	 8414 	 v8413 	 0.017
122 	 8481 	 v8480 	 0.017
123 	 8005 	 v8004 	 0.017
124 	 8004 	 v8003 	 0.017
125 	 8413 	 v8412 	 0.017
126 	 8152 	 v8151 	 0.017
127 	 8021 	 v8020 	 0.017
128 	 8175 	 v8174 	 0.017
129 	 8454 	 v8453 	 0.017
130 	 8442 	 v8441 	 0.017
131 	 8334 	 v8333 	 0.017
132 	 8444 	 v8443 	 0.017
133 	 8068 	 v8067 	 0.016
134 	 8127 	 v8126 	 0.016
135 	 8309 	 v8308 	 0.016
136 	 8320 	 v8319 	 0.016
137 	 8279 	 v8278 	 0.016
138 	 8410 	 v8409 	 0.016
139 	 8113 	 v8112 	 0.016
140 	 8129 	 v8128 	 0.016
141 	 8191 	 v8190 	 0.016
142 	 8134 	 v8133 	 0.016
143 	 8255 	 v8254 	 0.016
144 	 7971 	 v7970 	 0.016
145 	 8244 	 v8243 	 0.016
146 	 7804 	 v7803 	 0.016
147 	 8080 	 v8079 	 0.016
148 	 8211 	 v8210 	 0.016
149 	 8427 	 v8426 	 0.016
150 	 8429 	 v8428 	 0.016
151 	 8256 	 v8255 	 0.016
152 	 7889 	 v7888 	 0.016
153 	 7766 	 v7765 	 0.016
154 	 7976 	 v7975 	 0.016
155 	 8249 	 v8248 	 0.016
156 	 7891 	 v7890 	 0.016
157 	 8308 	 v8307 	 0.015
158 	 8012 	 v8011 	 0.015
159 	 8178 	 v8177 	 0.015
160 	 8297 	 v8296 	 0.015
161 	 8095 	 v8094 	 0.015
162 	 8093 	 v8092 	 0.015
163 	 7793 	 v7792 	 0.015
164 	 8209 	 v8208 	 0.015
165 	 8479 	 v8478 	 0.015
166 	 8480 	 v8479 	 0.015
167 	 8390 	 v8389 	 0.015
168 	 8112 	 v8111 	 0.015
169 	 8108 	 v8107 	 0.015
170 	 8036 	 v8035 	 0.015
171 	 7494 	 v7493 	 0.015
172 	 7458 	 v7457 	 0.015
173 	 8476 	 v8475 	 0.015
174 	 7999 	 v7998 	 0.015
175 	 8096 	 v8095 	 0.015
176 	 8094 	 v8093 	 0.015
177 	 8250 	 v8249 	 0.015
178 	 7828 	 v7827 	 0.015
179 	 8031 	 v8030 	 0.015
180 	 7580 	 v7579 	 0.015
181 	 8106 	 v8105 	 0.015
182 	 8299 	 v8298 	 0.015
183 	 8455 	 v8454 	 0.015
184 	 8393 	 v8392 	 0.015
185 	 6518 	 v6517 	 0.015
186 	 7905 	 v7904 	 0.015
187 	 8411 	 v8410 	 0.015
188 	 8416 	 v8415 	 0.014
189 	 8324 	 v8323 	 0.014
190 	 8118 	 v8117 	 0.014
191 	 7661 	 v7660 	 0.014
192 	 8164 	 v8163 	 0.014
193 	 8237 	 v8236 	 0.014
194 	 7930 	 v7929 	 0.014
195 	 6827 	 v6826 	 0.014
196 	 8386 	 v8385 	 0.014
197 	 8293 	 v8292 	 0.014
198 	 8347 	 v8346 	 0.014
199 	 8190 	 v8189 	 0.014
200 	 8086 	 v8085 	 0.014

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 8061 	 v8060 	 0.026
2 	 7536 	 v7535 	 0.014
3 	 6518 	 v6517 	 0.013
4 	 5910 	 v5909 	 0.012
5 	 7856 	 v7855 	 -0.015
6 	 8335 	 v8334 	 -0.012
7 	 6200 	 v6199 	 -0.019
8 	 7768 	 v7767 	 -0.019
9 	 6603 	 v6602 	 -0.021
10 	 8352 	 v8351 	 -0.024
11 	 8291 	 v8290 	 -0.028
12 	 6175 	 v6174 	 -0.027
13 	 7930 	 v7929 	 -0.028
14 	 8059 	 v8058 	 -0.029
15 	 6474 	 v6473 	 -0.027
16 	 7987 	 v7986 	 -0.030
17 	 7636 	 v7635 	 -0.028
18 	 7973 	 v7972 	 -0.030
19 	 6047 	 v6046 	 -0.032
20 	 7557 	 v7556 	 -0.030
21 	 6460 	 v6459 	 -0.029
22 	 8299 	 v8298 	 -0.031
23 	 7522 	 v7521 	 -0.031
24 	 8185 	 v8184 	 -0.033
25 	 6302 	 v6301 	 -0.031
26 	 6385 	 v6384 	 -0.033
27 	 7879 	 v7878 	 -0.031
28 	 8039 	 v8038 	 -0.033
29 	 6842 	 v6841 	 -0.035
30 	 5943 	 v5942 	 -0.035
31 	 7568 	 v7567 	 -0.034
32 	 8236 	 v8235 	 -0.036
33 	 8387 	 v8386 	 -0.037
34 	 7834 	 v7833 	 -0.036
35 	 6093 	 v6092 	 -0.037
36 	 8100 	 v8099 	 -0.037
37 	 7797 	 v7796 	 -0.037
38 	 6772 	 v6771 	 -0.035
39 	 6037 	 v6036 	 -0.037
40 	 8283 	 v8282 	 -0.036
41 	 6742 	 v6741 	 -0.039
42 	 8026 	 v8025 	 -0.038
43 	 7760 	 v7759 	 -0.038
44 	 7519 	 v7518 	 -0.040
45 	 8365 	 v8364 	 -0.039
46 	 8250 	 v8249 	 -0.040
47 	 6766 	 v6765 	 -0.040
48 	 5922 	 v5921 	 -0.041
49 	 7895 	 v7894 	 -0.041
50 	 6453 	 v6452 	 -0.040
51 	 8018 	 v8017 	 -0.040
52 	 7811 	 v7810 	 -0.043
53 	 6277 	 v6276 	 -0.043
54 	 7982 	 v7981 	 -0.042
55 	 6626 	 v6625 	 -0.042
56 	 8410 	 v8409 	 -0.043
57 	 6561 	 v6560 	 -0.043
58 	 5887 	 v5886 	 -0.043
59 	 7494 	 v7493 	 -0.043
60 	 8240 	 v8239 	 -0.043
61 	 7862 	 v7861 	 -0.044
62 	 8374 	 v8373 	 -0.045
63 	 6241 	 v6240 	 -0.045
64 	 6775 	 v6774 	 -0.044
65 	 7473 	 v7472 	 -0.045
66 	 8478 	 v8477 	 -0.047
67 	 5914 	 v5913 	 -0.047
68 	 7905 	 v7904 	 -0.047
69 	 8339 	 v8338 	 -0.048
70 	 7630 	 v7629 	 -0.047
71 	 6836 	 v6835 	 -0.048
72 	 5994 	 v5993 	 -0.048
73 	 8224 	 v8223 	 -0.047
74 	 6432 	 v6431 	 -0.048
75 	 8461 	 v8460 	 -0.048
76 	 7804 	 v7803 	 -0.050
77 	 7971 	 v7970 	 -0.051
78 	 7814 	 v7813 	 -0.051
79 	 6773 	 v6772 	 -0.051
80 	 6350 	 v6349 	 -0.051
81 	 8267 	 v8266 	 -0.051
82 	 5936 	 v5935 	 -0.052
83 	 7793 	 v7792 	 -0.051
84 	 8164 	 v8163 	 -0.051
85 	 8373 	 v8372 	 -0.053
86 	 6533 	 v6532 	 -0.052
87 	 7967 	 v7966 	 -0.052
88 	 6067 	 v6066 	 -0.053
89 	 7891 	 v7890 	 -0.052
90 	 6731 	 v6730 	 -0.052
91 	 8463 	 v8462 	 -0.051
92 	 5911 	 v5910 	 -0.053
93 	 7621 	 v7620 	 -0.052
94 	 8300 	 v8299 	 -0.052
95 	 7661 	 v7660 	 -0.053
96 	 6599 	 v6598 	 -0.054
97 	 5993 	 v5992 	 -0.054
98 	 8152 	 v8151 	 -0.053
99 	 7480 	 v7479 	 -0.055
100 	 8235 	 v8234 	 -0.054
101 	 6393 	 v6392 	 -0.055
102 	 8472 	 v8471 	 -0.055
103 	 7940 	 v7939 	 -0.055
104 	 5985 	 v5984 	 -0.055
105 	 7932 	 v7931 	 -0.055
106 	 8008 	 v8007 	 -0.055
107 	 8471 	 v8470 	 -0.056
108 	 7667 	 v7666 	 -0.056
109 	 6371 	 v6370 	 -0.056
110 	 8401 	 v8400 	 -0.056
111 	 6467 	 v6466 	 -0.056
112 	 6224 	 v6223 	 -0.056
113 	 7828 	 v7827 	 -0.057
114 	 8182 	 v8181 	 -0.056
115 	 8253 	 v8252 	 -0.057
116 	 6442 	 v6441 	 -0.057
117 	 8090 	 v8089 	 -0.057
118 	 5892 	 v5891 	 -0.057
119 	 7980 	 v7979 	 -0.058
120 	 7912 	 v7911 	 -0.058
121 	 6541 	 v6540 	 -0.057
122 	 7904 	 v7903 	 -0.058
123 	 6269 	 v6268 	 -0.058
124 	 6396 	 v6395 	 -0.058
125 	 8460 	 v8459 	 -0.058
126 	 8241 	 v8240 	 -0.060
127 	 5847 	 v5846 	 -0.060
128 	 7898 	 v7897 	 -0.060
129 	 8158 	 v8157 	 -0.061
130 	 5987 	 v5986 	 -0.061
131 	 8051 	 v8050 	 -0.061
132 	 7835 	 v7834 	 -0.062
133 	 8025 	 v8024 	 -0.061
134 	 6020 	 v6019 	 -0.062
135 	 8011 	 v8010 	 -0.062
136 	 6530 	 v6529 	 -0.062
137 	 7817 	 v7816 	 -0.062
138 	 8462 	 v8461 	 -0.063
139 	 7458 	 v7457 	 -0.063
140 	 6354 	 v6353 	 -0.063
141 	 8035 	 v8034 	 -0.063
142 	 7504 	 v7503 	 -0.062
143 	 6478 	 v6477 	 -0.064
144 	 8028 	 v8027 	 -0.064
145 	 6013 	 v6012 	 -0.064
146 	 8257 	 v8256 	 -0.064
147 	 6320 	 v6319 	 -0.065
148 	 7988 	 v7987 	 -0.065
149 	 7673 	 v7672 	 -0.065
150 	 6704 	 v6703 	 -0.064
151 	 8279 	 v8278 	 -0.065
152 	 8066 	 v8065 	 -0.066
153 	 7580 	 v7579 	 -0.066
154 	 8324 	 v8323 	 -0.067
155 	 6319 	 v6318 	 -0.067
156 	 6827 	 v6826 	 -0.067
157 	 7896 	 v7895 	 -0.067
158 	 8156 	 v8155 	 -0.068
159 	 6039 	 v6038 	 -0.068
160 	 8435 	 v8434 	 -0.068
161 	 7595 	 v7594 	 -0.068
162 	 6303 	 v6302 	 -0.068
163 	 8097 	 v8096 	 -0.068
164 	 8447 	 v8446 	 -0.070
165 	 6041 	 v6040 	 -0.069
166 	 7917 	 v7916 	 -0.070
167 	 8214 	 v8213 	 -0.070
168 	 6355 	 v6354 	 -0.070
169 	 8216 	 v8215 	 -0.071
170 	 7529 	 v7528 	 -0.071
171 	 8154 	 v8153 	 -0.072
172 	 5955 	 v5954 	 -0.072
173 	 7766 	 v7765 	 -0.072
174 	 8386 	 v8385 	 -0.072
175 	 8318 	 v8317 	 -0.073
176 	 5947 	 v5946 	 -0.073
177 	 8320 	 v8319 	 -0.074
178 	 7637 	 v7636 	 -0.074
179 	 8328 	 v8327 	 -0.074
180 	 6356 	 v6355 	 -0.074
181 	 7889 	 v7888 	 -0.075
182 	 8426 	 v8425 	 -0.075
183 	 6221 	 v6220 	 -0.076
184 	 8082 	 v8081 	 -0.075
185 	 8416 	 v8415 	 -0.076
186 	 7688 	 v7687 	 -0.077
187 	 8296 	 v8295 	 -0.077
188 	 6173 	 v6172 	 -0.077
189 	 8333 	 v8332 	 -0.077
190 	 8473 	 v8472 	 -0.078
191 	 7455 	 v7454 	 -0.078
192 	 8375 	 v8374 	 -0.078
193 	 5862 	 v5861 	 -0.079
194 	 8160 	 v8159 	 -0.079
195 	 6222 	 v6221 	 -0.080
196 	 8140 	 v8139 	 -0.080
197 	 8474 	 v8473 	 -0.081
198 	 7833 	 v7832 	 -0.081
199 	 8060 	 v8059 	 -0.081
200 	 5989 	 v5988 	 -0.081


 *** This program and the respective minimum Redundancy Maximum Relevance (mRMR) 
     algorithm were developed by Hanchuan Peng <hanchuan.peng@gmail.com>for
     the paper 
     "Feature selection based on mutual information: criteria of 
      max-dependency, max-relevance, and min-redundancy,"
      Hanchuan Peng, Fuhui Long, and Chris Ding, 
      IEEE Transactions on Pattern Analysis and Machine Intelligence,
      Vol. 27, No. 8, pp.1226-1238, 2005.

